ID Produk,Nama Produk,Brand,Kategori,Subkategori,Deskripsi Teks (Untuk Embeddings),Harga (Untuk Filter Metadata),URL Produk (Tautan Pembelian),url_gambar
PROD-062,Tenda Avtech Kapasitas 2 Orang Dome,Avtech,Equipment/Camping,Tenda,"Produk Tenda Avtech Kapasitas 2 Orang Dome dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi teras depan (vestibule) yang luas untuk memasak saat hujan, jendela ventilasi mesh anti-nyamuk B3, dan kantong penyimpanan barang di bagian dalam. Kemudahan instalasinya (user-friendly setup) membuat tenda ini dapat didirikan dengan cepat dalam waktu kurang dari 10 menit oleh dua orang. Produk original dari Avtech ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",1347000,https://www.outdoorgear.id/produk/tenda-avtech-kapasitas-2-orang-dome-prod-062,https://m.media-amazon.com/images/I/51JTZPAa8XL.jpg
PROD-063,Pisau Lipat Deuter Stainless Steel Pocket Size,Deuter,Equipment/Tools,Pisau Lipat,"Produk Pisau Lipat Deuter Stainless Steel Pocket Size dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menampilkan bilah pisau berbahan baja karbon tinggi (High-Carbon Stainless Steel) yang mempertahankan ketajaman dalam waktu lama dan sangat mudah diasah kembali di lapangan. Ukurannya yang masuk saku menjadikannya sangat praktis dibawa tanpa memakan tempat, siap digunakan kapan saja dalam situasi darurat tak terduga. Produk original dari Deuter ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",157000,https://www.outdoorgear.id/produk/pisau-lipat-deuter-stainless-steel-pocket-size-prod-063,https://down-id.img.susercontent.com/file/id-11134207-7r991-m0b3h765tyl234
PROD-064,Sarung Tangan Eiger Gore-Tex Touchscreen Friendly,Eiger,Apparel/Outdoor,Sarung Tangan,"Produk Sarung Tangan Eiger Gore-Tex Touchscreen Friendly dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Bagian telapak tangan dilapisi bahan karet/silikon bertekstur grip tinggi (anti-slip pad) untuk memastikan pegangan Anda pada tracking pole tetap mantap dan tidak licin. Bentuknya yang pas di tangan (*snug fit*) memberikan fleksibilitas penuh untuk memegang gelas kopi hangat, ritsleting tenda, ataupun peralatan camping lainnya. Produk original dari Eiger ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",120000,https://www.outdoorgear.id/produk/sarung-tangan-eiger-gore-tex-touchscreen-friendly-prod-064,https://images.tokopedia.net/img/cache/500-square/hDjmkQ/2024/3/15/431fe693-858b-4933-bd55-7b5fc2f24410.jpg
PROD-065,Pisau Lipat Kalibre Multi-tool Tactical Gear,Kalibre,Equipment/Tools,Pisau Lipat,"Produk Pisau Lipat Kalibre Multi-tool Tactical Gear dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Memiliki handle ergonomis bertekstur anti-slip (G10 material) serta klip saku baja untuk kemudahan akses cepat saat situasi darurat di alam liar. Ukurannya yang masuk saku menjadikannya sangat praktis dibawa tanpa memakan tempat, siap digunakan kapan saja dalam situasi darurat tak terduga. Sebagai salah satu rilisan unggulan, Kalibre berkomitmen menghadirkan fungsionalitas optimal tanpa mengorbankan kenyamanan pemakainya.",86000,https://www.outdoorgear.id/produk/pisau-lipat-kalibre-multi-tool-tactical-gear-prod-065,https://down-id.img.susercontent.com/file/id-11134207-7r991-m0b3h765tyl234
PROD-066,CooKing Set Jack Wolfskin Anodized Hard Ringkas 2-3 orang,Jack Wolfskin,Equipment/Cooking,CooKing Set,"Produk CooKing Set Jack Wolfskin Anodized Hard Ringkas 2-3 orang dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Terbuat dari bahan Hard-Anodized Aluminium yang sangat ringan, menghantarkan panas secara merata, bebas racun, serta sangat mudah dibersihkan dari sisa minyak masakan. Solusi praktis untuk memenuhi kebutuhan masak-memasak di alam bebas bersama kelompok kecil tanpa harus membawa peralatan dapur rumah yang berat. Sebagai salah satu rilisan unggulan, Jack Wolfskin berkomitmen menghadirkan fungsionalitas optimal tanpa mengorbankan kenyamanan pemakainya.",321000,https://www.outdoorgear.id/produk/cooking-set-jack-wolfskin-anodized-hard-ringkas-2-3-orang-prod-066,https://tse4.mm.bing.net/th/id/OIP._IfvqGoL72jBnt_BDX-_WQHaHa?pid=Api&P=0&h=180
PROD-067,Raincoat Osprey Seal Hotpress PVC Balon,Osprey,Apparel/Outdoor,Raincoat,"Produk Raincoat Osprey Seal Hotpress PVC Balon dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menggunakan material PVC baling premium yang tebal namun tetap lentur, dilengkapi teknologi double-placket ritsleting depan untuk mencegah air merembes masuk saat badai. Perlindungan wajib yang harus selalu siap di bagian atas tas carrier untuk mengantisipasi perubahan cuaca ekstrem yang tiba-tiba terjadi di tengah hutan. Produk original dari Osprey ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",432000,https://www.outdoorgear.id/produk/raincoat-osprey-seal-hotpress-pvc-balon-prod-067,https://cf.shopee.co.id/file/42beb6c0b9cfada05ddde71c3094d075
PROD-068,Sleeping Bag Deuter Kombinasi Dacron Glow in Dark,Deuter,Equipment/Camping,Sleeping Bag,Produk Sleeping Bag Deuter Kombinasi Dacron Glow in Dark dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menggunakan lapisan luar Ripstop Nylon dwr dan insulasi dacron hollow fiber tebal yang mampu menjamin kenyamanan tidur pada suhu limit 5 hingga 0 derajat Celcius. Dilengkapi dengan kantong kompresi khusus sehingga ukurannya bisa diperkecil secara signifikan saat dimasukkan ke dalam tas ransel. Produk original dari Deuter ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.,580000,https://www.outdoorgear.id/produk/sleeping-bag-deuter-kombinasi-dacron-glow-in-dark-prod-068,https://tse1.mm.bing.net/th/id/OIP.JAY4I_5esbYmuBARIgs1bAHaHa?pid=Api&P=0&h=180
PROD-069,Kompor Portable Jack Wolfskin Lipat Windproof,Jack Wolfskin,Equipment/Cooking,Kompor Portable,"Produk Kompor Portable Jack Wolfskin Lipat Windproof dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menampilkan desain berbahan stainless steel dan copper core berkekuatan tinggi yang tahan korosi dan panas ekstrem, dilengkapi dengan katup penyesuai tekanan gas yang sangat presisi. Sangat direkomendasikan untuk kegiatan outdoor berkelompok maupun solo camping, serta berguna sebagai kit darurat bencana di rumah. Sebagai salah satu rilisan unggulan, Jack Wolfskin berkomitmen menghadirkan fungsionalitas optimal tanpa mengorbankan kenyamanan pemakainya.",308000,https://www.outdoorgear.id/produk/kompor-portable-jack-wolfskin-lipat-windproof-prod-069,https://tse4.mm.bing.net/th/id/OIP._IfvqGoL72jBnt_BDX-_WQHaHa?pid=Api&P=0&h=180
PROD-070,Sleeping Bag Consina Polar Mumi,Consina,Equipment/Camping,Sleeping Bag,Produk Sleeping Bag Consina Polar Mumi dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menggunakan lapisan luar Ripstop Nylon dwr dan insulasi dacron hollow fiber tebal yang mampu menjamin kenyamanan tidur pada suhu limit 5 hingga 0 derajat Celcius. Dilengkapi dengan kantong kompresi khusus sehingga ukurannya bisa diperkecil secara signifikan saat dimasukkan ke dalam tas ransel. Produk original dari Consina ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.,360000,https://www.outdoorgear.id/produk/sleeping-bag-consina-polar-mumi-prod-070,https://tse1.mm.bing.net/th/id/OIP.JAY4I_5esbYmuBARIgs1bAHaHa?pid=Api&P=0&h=180
PROD-071,CooKing Set Marmot Anodized Hard Nesting Alumunium,Marmot,Equipment/Cooking,CooKing Set,"Produk CooKing Set Marmot Anodized Hard Nesting Alumunium dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Terbuat dari bahan Hard-Anodized Aluminium yang sangat ringan, menghantarkan panas secara merata, bebas racun, serta sangat mudah dibersihkan dari sisa minyak masakan. Materialnya yang kokoh menjamin daya tahan tinggi terhadap paparan api kompor gas portable, menjadikannya gear wajib pendakian berulang kali. Sebagai salah satu rilisan unggulan, Marmot berkomitmen menghadirkan fungsionalitas optimal tanpa mengorbankan kenyamanan pemakainya.",292000,https://www.outdoorgear.id/produk/cooking-set-marmot-anodized-hard-nesting-alumunium-prod-071,https://tse4.mm.bing.net/th/id/OIP._IfvqGoL72jBnt_BDX-_WQHaHa?pid=Api&P=0&h=180
PROD-072,Celana Kalibre Stretch Water-repellent,Kalibre,Apparel/Outdoor,Celana,"Produk Celana Kalibre Stretch Water-repellent dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Memiliki jahitan ganda yang diperkuat di area selangkangan dan lutut (reinforced panels) serta saku kargo beritsleting yang aman untuk menyimpan kompas atau ponsel. Sangat direkomendasikan untuk pendakian teknis yang membutuhkan banyak gerakan fisik berat seperti melewati semak belukar atau memanjat tebing berbatu. Sebagai salah satu rilisan unggulan, Kalibre berkomitmen menghadirkan fungsionalitas optimal tanpa mengorbankan kenyamanan pemakainya.",402000,https://www.outdoorgear.id/produk/celana-kalibre-stretch-water-repellent-prod-072,https://download.logo.wine/logo/Columbia_Sportswear/Columbia_Sportswear-Logo.wine.png
PROD-073,Tenda Quechua Kapasitas 2 Orang Double Layer,Quechua,Equipment/Camping,Tenda,"Produk Tenda Quechua Kapasitas 2 Orang Double Layer dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi teras depan (vestibule) yang luas untuk memasak saat hujan, jendela ventilasi mesh anti-nyamuk B3, dan kantong penyimpanan barang di bagian dalam. Kemudahan instalasinya (user-friendly setup) membuat tenda ini dapat didirikan dengan cepat dalam waktu kurang dari 10 menit oleh dua orang. Sebagai salah satu rilisan unggulan, Quechua berkomitmen menghadirkan fungsionalitas optimal tanpa mengorbankan kenyamanan pemakainya.",2546000,https://www.outdoorgear.id/produk/tenda-quechua-kapasitas-2-orang-double-layer-prod-073,https://m.media-amazon.com/images/I/51JTZPAa8XL.jpg
PROD-074,Tracking Pole Columbia Carbon Light Flip Lock,Columbia,Equipment/Outdoor,Tracking Pole,"Produk Tracking Pole Columbia Carbon Light Flip Lock dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dibangun menggunakan material Carbon Fiber kelas penerbangan yang sangat ringan namun memiliki kekuatan torsional luar biasa untuk membagi beban lutut saat menanjak. Mudah disesuaikan panjangnya untuk berbagai postur tubuh pendaki, menjadikannya investasi peralatan outdoor jangka panjang yang sangat fungsional. Dengan memilih perlengkapan dari Columbia, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",292000,https://www.outdoorgear.id/produk/tracking-pole-columbia-carbon-light-flip-lock-prod-074,https://tse3.mm.bing.net/th/id/OIP.ZNQ4_c2CmuQTlawL5gDj4wHaHc?pid=Api&P=0&h=180
PROD-075,Jaket Columbia Windbreaker Bulu Angsa,Columbia,Apparel/Outdoor,Jaket,"Produk Jaket Columbia Windbreaker Bulu Angsa dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi hoodie yang dapat disesuaikan dengan tali serut elastis, saku dalam tersembunyi untuk gadget, serta lapisan fleece lembut di bagian kerah untuk kenyamanan leher. Peralatan wajib (*must-have item*) yang harus ada di dalam tas saat melakukan muncak (*summit attack*) menjelang dini hari demi melawan dinginnya angin puncak. Dengan memilih perlengkapan dari Columbia, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",447000,https://www.outdoorgear.id/produk/jaket-columbia-windbreaker-bulu-angsa-prod-075,https://download.logo.wine/logo/Columbia_Sportswear/Columbia_Sportswear-Logo.wine.png
PROD-076,Topi Rimba Patagonia Bucket Style With Neck Flap,Patagonia,Apparel/Outdoor,Topi Rimba,"Produk Topi Rimba Patagonia Bucket Style With Neck Flap dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menggunakan kain polyester quick-dry yang memiliki sirkulasi udara optimal berkat ventilasi mesh tersembunyi di bagian samping, menjaga kepala tetap sejuk selama trekking siang hari. Sangat praktis dibawa karena bahannya yang mudah dilipat tanpa merusak bentuk asli, pas dimasukkan ke saku celana atau kompartemen tas kecil. Dengan memilih perlengkapan dari Patagonia, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",82000,https://www.outdoorgear.id/produk/topi-rimba-patagonia-bucket-style-with-neck-flap-prod-076,https://down-id.img.susercontent.com/file/id-11134207-7r991-lm8ie3iy90ac50
PROD-077,Celana Naturehike Tactical Stretch,Naturehike,Apparel/Outdoor,Celana,"Produk Celana Naturehike Tactical Stretch dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Memiliki jahitan ganda yang diperkuat di area selangkangan dan lutut (reinforced panels) serta saku kargo beritsleting yang aman untuk menyimpan kompas atau ponsel. Kemampuannya yang sangat cepat kering membuatnya sangat handal digunakan melintasi area basah atau saat harus kehujanan di tengah jalur. Sebagai salah satu rilisan unggulan, Naturehike berkomitmen menghadirkan fungsionalitas optimal tanpa mengorbankan kenyamanan pemakainya.",353000,https://www.outdoorgear.id/produk/celana-naturehike-tactical-stretch-prod-077,https://download.logo.wine/logo/Columbia_Sportswear/Columbia_Sportswear-Logo.wine.png
PROD-078,Tenda Jack Wolfskin Kapasitas 4 Orang Double Layer,Jack Wolfskin,Equipment/Camping,Tenda,"Produk Tenda Jack Wolfskin Kapasitas 4 Orang Double Layer dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi teras depan (vestibule) yang luas untuk memasak saat hujan, jendela ventilasi mesh anti-nyamuk B3, dan kantong penyimpanan barang di bagian dalam. Sangat direkomendasikan untuk camping keluarga di bumi perkemahan terorganisir maupun pendakian gunung tinggi dengan cuaca yang tidak menentu. Produk original dari Jack Wolfskin ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",1497000,https://www.outdoorgear.id/produk/tenda-jack-wolfskin-kapasitas-4-orang-double-layer-prod-078,https://m.media-amazon.com/images/I/51JTZPAa8XL.jpg
PROD-079,Botol Minum Thermal Consina 1 Liter Keep Hot/Cold,Consina,Equipment/Tools,Botol Minum Thermal,"Produk Botol Minum Thermal Consina 1 Liter Keep Hot/Cold dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menggunakan konstruksi dinding ganda terisolasi vakum (Double-Wall Vacuum Insulated) dari material Food-Grade Stainless Steel 18/8 yang bebas karat dan BPA-Free. Sangat membantu untuk menyimpan suplai air hangat atau kopi panas di malam hari, memberikan kenyamanan instan saat suhu sekitar mulai menusuk tulang. Produk original dari Consina ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",92000,https://www.outdoorgear.id/produk/botol-minum-thermal-consina-1-liter-keep-hotcold-prod-079,https://tse4.mm.bing.net/th/id/OIP._IfvqGoL72jBnt_BDX-_WQHaHa?pid=Api&P=0&h=180
PROD-080,Botol Minum Thermal Eiger Keep Hot/Cold Stainless 304,Eiger,Equipment/Tools,Botol Minum Thermal,"Produk Botol Minum Thermal Eiger Keep Hot/Cold Stainless 304 dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Mampu mempertahankan suhu air panas hingga 12 jam dan air es dingin hingga 24 jam tanpa menimbulkan kondensasi atau embun di permukaan luar botol. Sangat membantu untuk menyimpan suplai air hangat atau kopi panas di malam hari, memberikan kenyamanan instan saat suhu sekitar mulai menusuk tulang. Dengan memilih perlengkapan dari Eiger, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",120000,https://www.outdoorgear.id/produk/botol-minum-thermal-eiger-keep-hotcold-stainless-304-prod-080,https://tse4.mm.bing.net/th/id/OIP._IfvqGoL72jBnt_BDX-_WQHaHa?pid=Api&P=0&h=180
PROD-081,Topi Rimba Marmot UV Protection With Neck Flap,Marmot,Apparel/Outdoor,Topi Rimba,"Produk Topi Rimba Marmot UV Protection With Neck Flap dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi tali dagu yang dapat disesuaikan (adjustable chin strap) dan panel pelindung leher belakang (neck flap) yang bisa dilepas-pasang sesuai kenyamanan. Menjadi aksesoris wajib bagi penggiat alam bebas saat melakukan aktivitas lapangan, susur pantai, maupun ekspedisi hutan belantara yang terik. Dengan memilih perlengkapan dari Marmot, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",136000,https://www.outdoorgear.id/produk/topi-rimba-marmot-uv-protection-with-neck-flap-prod-081,https://down-id.img.susercontent.com/file/id-11134207-7r991-lm8ie3iy90ac50
PROD-082,Tenda Naturehike Kapasitas 2 Orang Dome,Naturehike,Equipment/Camping,Tenda,"Produk Tenda Naturehike Kapasitas 2 Orang Dome dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Mengadopsi struktur rangka aluminium alloy silang yang sangat kokoh menahan terpaan angin badai pegunungan, lengkap dengan pasak baja dan tali guyline reflektif. Menjadi rumah kedua yang aman dan nyaman di tengah alam liar, melindungi seluruh tim dan barang bawaan dari ancaman angin malam, badai hujan, dan hewan liar. Produk original dari Naturehike ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",1762000,https://www.outdoorgear.id/produk/tenda-naturehike-kapasitas-2-orang-dome-prod-082,https://m.media-amazon.com/images/I/51JTZPAa8XL.jpg
PROD-083,Jaket Naturehike Bulu Angsa Softshell,Naturehike,Apparel/Outdoor,Jaket,"Produk Jaket Naturehike Bulu Angsa Softshell dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi hoodie yang dapat disesuaikan dengan tali serut elastis, saku dalam tersembunyi untuk gadget, serta lapisan fleece lembut di bagian kerah untuk kenyamanan leher. Desainnya yang trendi membuat jaket ini tetap cocok digunakan untuk aktivitas kasual sehari-hari maupun nongkrong di malam hari tanpa kehilangan fungsi teknisnya. Produk original dari Naturehike ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",830000,https://www.outdoorgear.id/produk/jaket-naturehike-bulu-angsa-softshell-prod-083,https://download.logo.wine/logo/Columbia_Sportswear/Columbia_Sportswear-Logo.wine.png
PROD-084,Pisau Lipat Rey Stainless Steel Tactical Gear,Rey,Equipment/Tools,Pisau Lipat,"Produk Pisau Lipat Rey Stainless Steel Tactical Gear dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menampilkan bilah pisau berbahan baja karbon tinggi (High-Carbon Stainless Steel) yang mempertahankan ketajaman dalam waktu lama dan sangat mudah diasah kembali di lapangan. Alat serbaguna (*survival tool*) wajib punya yang sangat membantu dalam memotong tali, meraut kayu bakar, membuka kaleng makanan, hingga mempersiapkan bahan masakan. Produk original dari Rey ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",271000,https://www.outdoorgear.id/produk/pisau-lipat-rey-stainless-steel-tactical-gear-prod-084,https://down-id.img.susercontent.com/file/id-11134207-7r991-m0b3h765tyl234
PROD-085,Headlamp Osprey LED Cree High Lumens,Osprey,Equipment/Lighting,Headlamp,"Produk Headlamp Osprey LED Cree High Lumens dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menggunakan baterai lithium rechargeable yang tahan hingga 40 jam pada mode hemat, serta memiliki sertifikasi IPX6 tahan siraman hujan lebat dari segala arah. Alat penerangan krusial untuk memandu langkah kaki Anda saat melakukan pendakian malam hari menuju puncak agar kedua tangan tetap bebas bergerak memegang tracking pole. Dengan memilih perlengkapan dari Osprey, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",83000,https://www.outdoorgear.id/produk/headlamp-osprey-led-cree-high-lumens-prod-085,https://i5.walmartimages.com/seo/Adult-LED-Rechargeable-Headlamp-LED-Headlamps-Torch-90-Adjustable-4-Modes-IPX5-Waterproof-USB-Headlamp-Camping-Running-Hunting-Cycling_e4b07274-da5e-4ad7-80d1-942a8e6e28ca.ed648eabeb04909f288a94846c7952eb.jpeg
PROD-086,Kompor Portable Arei Mini Spider Lipat,Arei,Equipment/Cooking,Kompor Portable,"Produk Kompor Portable Arei Mini Spider Lipat dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menampilkan desain berbahan stainless steel dan copper core berkekuatan tinggi yang tahan korosi dan panas ekstrem, dilengkapi dengan katup penyesuai tekanan gas yang sangat presisi. Ukurannya yang ringkas (ultralight gear) menjadikannya favorit para penganut gaya mendaki ultralight backpacking yang sangat memikirkan efisiensi berat barang. Dengan memilih perlengkapan dari Arei, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",124000,https://www.outdoorgear.id/produk/kompor-portable-arei-mini-spider-lipat-prod-086,https://tse4.mm.bing.net/th/id/OIP._IfvqGoL72jBnt_BDX-_WQHaHa?pid=Api&P=0&h=180
PROD-087,Headlamp Columbia High Lumens Sensor Gerak,Columbia,Equipment/Lighting,Headlamp,"Produk Headlamp Columbia High Lumens Sensor Gerak dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menggunakan baterai lithium rechargeable yang tahan hingga 40 jam pada mode hemat, serta memiliki sertifikasi IPX6 tahan siraman hujan lebat dari segala arah. Alat penerangan krusial untuk memandu langkah kaki Anda saat melakukan pendakian malam hari menuju puncak agar kedua tangan tetap bebas bergerak memegang tracking pole. Dengan memilih perlengkapan dari Columbia, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",143000,https://www.outdoorgear.id/produk/headlamp-columbia-high-lumens-sensor-gerak-prod-087,https://i5.walmartimages.com/seo/Adult-LED-Rechargeable-Headlamp-LED-Headlamps-Torch-90-Adjustable-4-Modes-IPX5-Waterproof-USB-Headlamp-Camping-Running-Hunting-Cycling_e4b07274-da5e-4ad7-80d1-942a8e6e28ca.ed648eabeb04909f288a94846c7952eb.jpeg
PROD-088,Pisau Lipat Consina Stainless Steel Multi-tool,Consina,Equipment/Tools,Pisau Lipat,"Produk Pisau Lipat Consina Stainless Steel Multi-tool dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Menampilkan bilah pisau berbahan baja karbon tinggi (High-Carbon Stainless Steel) yang mempertahankan ketajaman dalam waktu lama dan sangat mudah diasah kembali di lapangan. Menawarkan keandalan mekanis tingkat tinggi bagi pemancing, pemburu, pendaki gunung, maupun penggiat bushcraft yang membutuhkan alat potong presisi. Dengan memilih perlengkapan dari Consina, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",59000,https://www.outdoorgear.id/produk/pisau-lipat-consina-stainless-steel-multi-tool-prod-088,https://down-id.img.susercontent.com/file/id-11134207-7r991-m0b3h765tyl234
PROD-089,Jaket Quechua Softshell Gore-Tex,Quechua,Apparel/Outdoor,Jaket,"Produk Jaket Quechua Softshell Gore-Tex dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi hoodie yang dapat disesuaikan dengan tali serut elastis, saku dalam tersembunyi untuk gadget, serta lapisan fleece lembut di bagian kerah untuk kenyamanan leher. Sangat ideal untuk menghadapi iklim pegunungan Indonesia yang lembab dan dingin, seperti di kawasan Dieng, Gunung Gede, atau Bromo. Produk original dari Quechua ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",599000,https://www.outdoorgear.id/produk/jaket-quechua-softshell-gore-tex-prod-089,https://download.logo.wine/logo/Columbia_Sportswear/Columbia_Sportswear-Logo.wine.png
PROD-090,Jaket Consina Windbreaker Fleece,Consina,Apparel/Outdoor,Jaket,"Produk Jaket Consina Windbreaker Fleece dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dibangun dengan membran breathable tahan air (Gore-Tex technology) yang efektif mengusir angin malam pegunungan namun tetap membuang uap panas tubuh keluar dengan efisien. Sangat ideal untuk menghadapi iklim pegunungan Indonesia yang lembab dan dingin, seperti di kawasan Dieng, Gunung Gede, atau Bromo. Produk original dari Consina ini menawarkan standar kualitas tinggi yang sudah teruji di berbagai medan alam bebas oleh komunitas pendaki Indonesia.",524000,https://www.outdoorgear.id/produk/jaket-consina-windbreaker-fleece-prod-090,https://download.logo.wine/logo/Columbia_Sportswear/Columbia_Sportswear-Logo.wine.png
PROD-091,Headlamp Quechua Rechargeable USB Sensor Gerak,Quechua,Equipment/Lighting,Headlamp,"Produk Headlamp Quechua Rechargeable USB Sensor Gerak dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Dilengkapi LED Cree berdaya sorot hingga 300 lumens dengan jarak pancar mencapai 80 meter, menawarkan mode cahaya fokus, floodlight luas, serta lampu merah SOS. Alat penerangan krusial untuk memandu langkah kaki Anda saat melakukan pendakian malam hari menuju puncak agar kedua tangan tetap bebas bergerak memegang tracking pole. Dengan memilih perlengkapan dari Quechua, Anda mendapatkan jaminan durabilitas material jangka panjang yang siap menemani puluhan perjalanan petualangan Anda ke depan.",255000,https://www.outdoorgear.id/produk/headlamp-quechua-rechargeable-usb-sensor-gerak-prod-091,https://i5.walmartimages.com/seo/Adult-LED-Rechargeable-Headlamp-LED-Headlamps-Torch-90-Adjustable-4-Modes-IPX5-Waterproof-USB-Headlamp-Camping-Running-Hunting-Cycling_e4b07274-da5e-4ad7-80d1-942a8e6e28ca.ed648eabeb04909f288a94846c7952eb.jpeg
PROD-092,Tracking Pole Rey Teleskopik 3 Section Carbon Light,Rey,Equipment/Outdoor,Tracking Pole,"Produk Tracking Pole Rey Teleskopik 3 Section Carbon Light dirancang secara khusus untuk memenuhi kebutuhan para penggiat aktivitas luar ruangan yang dinamis. Terbuat dari Aluminium Alloy 7075 dengan sistem pengunci tuas (Flip Lock) yang sangat cepat disetel jalurnya meski Anda sedang mengenakan sarung tangan tebal. Alat bantu esensial bagi pendaki yang menempuh jalur panjang guna menghemat energi otot kaki dan membagi kerja tumpuan ke otot tangan secara efisien. Sebagai salah satu rilisan unggulan, Rey berkomitmen menghadirkan fungsionalitas optimal tanpa mengorbankan kenyamanan pemakainya.",308000,https://www.outdoorgear.id/produk/tracking-pole-rey-teleskopik-3-section-carbon-light-prod-092,https://tse3.mm.bing.net/th/id/OIP.ZNQ4_c2CmuQTlawL5gDj4wHaHc?pid=Api&P=0&h=180
